start	end	NodeId	nTxBursts	TxBytes	nRxBursts	RxBytes	delay	stdDev	min	max	
0.1	0.2	1	1	206196	1	206196	2.70846e+07	0	2.70846e+07	2.70846e+07	
0.2	0.3	1	1	204269	1	204269	3.45294e+07	0	3.45294e+07	3.45294e+07	
0.3	0.4	1	1	203771	1	203771	3.43376e+07	0	3.43376e+07	3.43376e+07	
0.4	0.5	1	1	201918	1	201918	3.4336e+07	0	3.4336e+07	3.4336e+07	
0.5	0.6	1	1	201050	1	201050	3.43352e+07	0	3.43352e+07	3.43352e+07	
0.6	0.7	1	1	201338	1	201338	2.68355e+07	0	2.68355e+07	2.68355e+07	
0.7	0.8	1	1	200068	1	200068	3.43344e+07	0	3.43344e+07	3.43344e+07	
0.8	0.9	1	1	198207	1	198207	3.41542e+07	0	3.41542e+07	3.41542e+07	
0.9	1	1	1	196771	1	196771	3.40866e+07	0	3.40866e+07	3.40866e+07	
1	1.1	1	1	195814	1	195814	3.40858e+07	0	3.40858e+07	3.40858e+07	
1.1	1.2	1	1	196353	1	196353	2.65863e+07	0	2.65863e+07	2.65863e+07	
1.2	1.3	1	1	196230	1	196230	3.40862e+07	0	3.40862e+07	3.40862e+07	
1.3	1.4	1	1	196409	1	196409	3.40863e+07	0	3.40863e+07	3.40863e+07	
1.4	1.5	1	1	197588	1	197588	3.40873e+07	0	3.40873e+07	3.40873e+07	
1.5	1.6	1	1	197149	1	197149	3.4087e+07	0	3.4087e+07	3.4087e+07	
1.6	1.7	1	1	197859	1	197859	2.65876e+07	0	2.65876e+07	2.65876e+07	
1.7	1.8	1	1	195562	1	195562	3.40856e+07	0	3.40856e+07	3.40856e+07	
1.8	1.9	1	1	196343	1	196343	3.40863e+07	0	3.40863e+07	3.40863e+07	
1.9	2	1	1	197850	1	197850	5.1886e+07	0	5.1886e+07	5.1886e+07	
2	2.1	1	1	199050	1	199050	3.43335e+07	0	3.43335e+07	3.43335e+07	
2.1	2.2	1	1	199787	1	199787	2.68342e+07	0	2.68342e+07	2.68342e+07	
2.2	2.3	1	1	200573	1	200573	3.43348e+07	0	3.43348e+07	3.43348e+07	
2.3	2.4	1	1	201093	1	201093	3.43353e+07	0	3.43353e+07	3.43353e+07	
2.4	2.5	1	1	200200	1	200200	3.43345e+07	0	3.43345e+07	3.43345e+07	
2.5	2.6	1	1	202218	1	202218	3.43363e+07	0	3.43363e+07	3.43363e+07	
