DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00405357	0	4	0	1	2	1	1	0	43	0	0	47.6403	0	0
UL	0.00505357	0	5	0	1	2	1	1	0	43	0	0	47.7164 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	534	28	0	47.5501	0	0
DL	0.0340714	3	4	0	1	3	1	1	0	66	0	0	50.1153	0	0
UL	0.0350536	3	5	0	1	2	1	1	0	43	0	0	50.0163 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	534	28	0	50.0165	0	0
UL	0.100982	10	0	3	1	12	1	1	0	274	0	0	51.3095 	0	0
UL	0.101232	10	1	0	1	12	1	1	0	274	0	0	51.2541 	0	0
UL	0.101482	10	1	1	1	12	1	1	0	274	0	0	51.3229 	0	0
UL	0.101732	10	1	2	1	12	1	1	0	6426	28	0	51.4817 	0	0
DL	0.101786	10	1	3	1	1	1	1	0	20	0	0	51.2883	0	0
UL	0.101982	10	1	3	2	11	1	1	0	5892	28	0	51.2822 	0	0
UL	0.102232	10	2	0	1	12	1	1	0	6426	28	0	51.0521 	0	0
UL	0.102482	10	2	1	1	12	1	1	0	6426	28	0	51.2265 	0	0
UL	0.102732	10	2	2	1	12	1	1	0	6426	28	0	51.2681 	0	0
UL	0.102982	10	2	3	1	12	1	1	0	6426	28	0	51.258 	0	0
UL	0.103232	10	3	0	1	12	1	1	0	6426	28	0	51.2887 	0	0
UL	0.103482	10	3	1	1	12	1	1	0	6426	28	0	51.2016 	0	0
UL	0.103732	10	3	2	1	12	1	1	0	6426	28	0	51.2001 	0	0
UL	0.103982	10	3	3	1	12	1	1	0	6426	28	0	51.0616 	0	0
UL	0.104232	10	4	0	1	12	1	1	0	6426	28	0	50.9014 	0	0
UL	0.104482	10	4	1	1	12	1	1	0	6426	28	0	50.9801 	0	0
UL	0.104732	10	4	2	1	12	1	1	0	6426	28	0	50.8911 	0	0
UL	0.104982	10	4	3	1	12	1	1	0	6426	28	0	50.78 	0	0
UL	0.105232	10	5	0	1	12	1	1	0	6426	28	0	50.8419 	0	0
UL	0.105482	10	5	1	1	12	1	1	0	6426	28	0	50.9614 	0	0
UL	0.105732	10	5	2	1	12	1	1	0	6426	28	0	51.2289 	0	0
UL	0.105982	10	5	3	1	12	1	1	0	6426	28	0	51.3398 	0	0
UL	0.106232	10	6	0	1	12	1	1	0	6426	28	0	51.3929 	0	0
UL	0.106482	10	6	1	1	12	1	1	0	6426	28	0	51.1238 	0	0
UL	0.106732	10	6	2	1	12	1	1	0	6426	28	0	51.223 	0	0
UL	0.106982	10	6	3	1	12	1	1	0	6426	28	0	51.2042 	0	0
UL	0.107232	10	7	0	1	12	1	1	0	6426	28	0	51.1424 	0	0
UL	0.107339	10	7	1	1	4	1	1	0	2142	28	0	50.8008 	0	0
DL	0.111982	11	1	3	1	12	1	1	0	6426	28	0	50.6002	0	0
DL	0.112232	11	2	0	1	12	1	1	0	6426	28	0	50.3236	0	0
DL	0.112482	11	2	1	1	12	1	1	0	6426	28	0	50.4162	0	0
DL	0.112571	11	2	2	1	3	1	1	0	1608	28	0	50.5041	0	0
UL	0.113482	11	3	1	1	12	1	1	0	6426	28	0	50.2675 	0	0
UL	0.113732	11	3	2	1	12	1	1	0	6426	28	0	50.2933 	0	0
UL	0.113982	11	3	3	1	12	1	1	0	6426	28	0	50.3208 	0	0
UL	0.114232	11	4	0	1	12	1	1	0	6426	28	0	50.1016 	0	0
UL	0.114482	11	4	1	1	12	1	1	0	6426	28	0	49.8994 	0	0
UL	0.114732	11	4	2	1	12	1	1	0	6426	28	0	49.8545 	0	0
UL	0.114982	11	4	3	1	12	1	1	0	6426	28	0	49.8804 	0	0
UL	0.115232	11	5	0	1	12	1	1	0	6426	28	0	49.8057 	0	0
UL	0.115482	11	5	1	1	12	1	1	0	6426	28	0	49.5977 	0	0
UL	0.115732	11	5	2	1	12	1	1	0	6426	28	0	49.518 	0	0
UL	0.115982	11	5	3	1	12	1	1	0	6426	28	0	49.5431 	0	0
UL	0.116161	11	6	0	1	8	1	1	0	4284	28	0	49.7508 	0	0
DL	0.131982	13	1	3	1	12	1	1	0	6426	28	0	51.7689	0	0
DL	0.132036	13	2	0	1	1	1	1	0	534	28	0	51.767	0	0
UL	0.133036	13	3	0	1	1	1	1	0	534	28	0	51.3516 	0	0
UL	0.200982	20	0	3	1	12	1	1	0	274	0	0	47.3143 	0	0
UL	0.201232	20	1	0	1	12	1	1	0	274	0	0	47.4473 	0	0
UL	0.201482	20	1	1	1	12	1	1	0	274	0	0	47.5843 	0	0
UL	0.201732	20	1	2	1	12	1	1	0	6426	28	0	47.4455 	0	0
DL	0.201786	20	1	3	1	1	1	1	0	20	0	0	47.3844	0	0
UL	0.201982	20	1	3	2	11	1	1	0	5892	28	0	47.4202 	0	0
UL	0.202232	20	2	0	1	12	1	1	0	6426	28	0	47.2813 	0	0
UL	0.202482	20	2	1	1	12	1	1	0	6426	28	0	47.3004 	0	0
UL	0.202732	20	2	2	1	12	1	1	0	6426	28	0	47.2246 	0	0
UL	0.202982	20	2	3	1	12	1	1	0	6426	28	0	47.2493 	0	0
UL	0.203232	20	3	0	1	12	1	1	0	6426	28	0	47.3006 	0	0
UL	0.203482	20	3	1	1	12	1	1	0	6426	28	0	47.308 	0	0
UL	0.203732	20	3	2	1	12	1	1	0	6426	28	0	47.2078 	0	0
UL	0.203982	20	3	3	1	12	1	1	0	6426	28	0	47.0522 	0	0
